Response,contrast,estimate,SE,df,t.ratio,p.value
pods_per_plant,T1 - T4,-1.333333333333333,0.7302967433402214,10,-1.8257418583505534,0.4112010064579522
pods_per_plant,T2 - T3,-0.33333333333333326,0.7302967433402212,10,-0.4564354645876385,0.9896715605247495
pods_per_plant,T2 - T4,-1.6666666666666667,0.7302967433402213,10,-2.2821773229381925,0.22717375517643723
pods_per_plant,T3 - T4,-1.3333333333333335,0.7302967433402212,10,-1.8257418583505547,0.4112010064579513
grains_per_pod,T0 - T1,-13.666666666666686,1.909042808436849,10,-7.158910531638179,2.3058320034474722e-4
grains_per_pod,T0 - T2,-8.000000000000009,1.9090428084368478,10,-4.190581774617472,0.012504056458942925
grains_per_pod,T0 - T3,-12.00000000000001,1.909042808436848,10,-6.285872661926207,6.691730348381553e-4
grains_per_pod,T0 - T4,-41.00000000000001,1.909042808436848,10,-21.476731594914522,7.436737003985172e-9
grains_per_pod,T1 - T2,5.666666666666677,1.9090428084368485,10,2.9683287570207106,0.08233741526464922
grains_per_pod,T1 - T3,1.666666666666675,1.9090428084368485,10,0.8730378697119765,0.9004476361204031
grains_per_pod,T1 - T4,-27.33333333333332,1.9090428084368485,10,-14.317821063276336,4.296396984848627e-7
grains_per_pod,T2 - T3,-4.000000000000002,1.909042808436848,10,-2.0952908873087344,0.29294456046928397
grains_per_pod,T2 - T4,-33,1.9090428084368483,10,-17.28614982029705,7.559857273520265e-8
grains_per_pod,T3 - T4,-28.999999999999996,1.9090428084368483,10,-15.190858932988315,2.483478735992861e-7
pod_length_cm,T0 - T1,-2.266666666666671,0.6300934674933378,10,-3.597349891094748,0.031079326944641106
pod_length_cm,T0 - T2,-1.0000000000000018,0.6300934674933374,10,-1.5870661284241545,0.5359945313104919
pod_length_cm,T0 - T3,-1.2333333333333356,0.6300934674933375,10,-1.9573815583897902,0.3500551760934252
pod_length_cm,T0 - T4,-2.6900000000000013,0.6300934674933375,10,-4.269207885460969,0.01110411501625752
pod_length_cm,T1 - T2,1.2666666666666693,0.6300934674933377,10,2.010283762670595,0.3272856891563326
pod_length_cm,T1 - T3,1.0333333333333354,0.6300934674933376,10,1.6399683327049595,0.5070836789004615
pod_length_cm,T1 - T4,-0.42333333333333023,0.6300934674933376,10,-0.6718579943662191,0.9582022598291289
pod_length_cm,T2 - T3,-0.23333333333333384,0.6300934674933375,10,-0.3703154299656361,0.9953194619044344
pod_length_cm,T2 - T4,-1.6899999999999995,0.6300934674933376,10,-2.6821417570368147,0.12713160149270808
pod_length_cm,T3 - T4,-1.4566666666666657,0.6300934674933376,10,-2.3118263270711785,0.21793662219467758
grain_k_pct,T0 - T1,0.1803333333333335,0.028732482586013262,10,6.276287918855933,6.773812209958097e-4
grain_k_pct,T0 - T2,-0.023666666666666634,0.028732482586013245,10,-0.8236902814025332,0.9172877514042004
grain_k_pct,T0 - T3,0.07133333333333333,0.02873248258601325,10,2.4826721157766523,0.17067941986259383
grain_k_pct,T0 - T4,-0.17299999999999996,0.028732482586013252,10,-6.021059944336833,9.410090269893479e-4
grain_k_pct,T1 - T2,-0.20400000000000015,0.028732482586013255,10,-7.099978200258468,2.471017544480869e-4
grain_k_pct,T1 - T3,-0.10900000000000018,0.028732482586013255,10,-3.7936158030792826,0.022942811828424836
grain_k_pct,T1 - T4,-0.3533333333333335,0.028732482586013255,10,-12.297347863192767,1.8025288739398349e-6
grain_k_pct,T2 - T3,0.09499999999999997,0.028732482586013252,10,3.306362397179185,0.04882794197512452
grain_k_pct,T2 - T4,-0.14933333333333332,0.028732482586013252,10,-5.1973696629343,0.002870248738885861
grain_k_pct,T3 - T4,-0.2443333333333333,0.028732482586013255,10,-8.503732060113483,5.2473183750234575e-5
plant_k_pct,T0 - T1,-0.310666666666667,0.022071600656852083,10,-14.075402663205631,5.040152837310075e-7
plant_k_pct,T0 - T2,-0.2216666666666667,0.02207160065685207,10,-10.043071642737921,1.1812838683233906e-5
plant_k_pct,T0 - T3,-0.22666666666666674,0.022071600656852073,10,-10.269607093325995,9.635411917119363e-6
plant_k_pct,T0 - T4,-0.6226666666666667,0.022071600656852073,10,-28.211214779901404,3.809610404914565e-10
plant_k_pct,T1 - T2,0.08900000000000027,0.02207160065685208,10,4.0323310204677165,0.01590501283512824
plant_k_pct,T1 - T3,0.08400000000000024,0.022071600656852076,10,3.8057955698796424,0.022516009389093705
plant_k_pct,T1 - T4,-0.3119999999999997,0.02207160065685208,10,-14.13581211669576,4.842032663709972e-7
plant_k_pct,T2 - T3,-0.005000000000000032,0.022071600656852073,10,-0.2265354505880748,0.9993074862869971
plant_k_pct,T2 - T4,-0.401,0.022071600656852073,10,-18.168143137163483,4.6867631331437565e-8
plant_k_pct,T3 - T4,-0.39599999999999996,0.022071600656852076,10,-17.941607686575406,5.2985347442913167e-8
plant_n_pct,T0 - T1,-0.507566666666667,0.04587127883787672,10,-11.065021066026185,4.8444818767645614e-6
plant_n_pct,T0 - T2,-0.31329999999999986,0.04587127883787669,10,-6.829981808601829,3.40952843517095e-4
plant_n_pct,T0 - T3,-0.5006999999999999,0.04587127883787669,10,-10.915326816364304,5.496406623506367e-6
plant_n_pct,T0 - T4,-0.5637666666666665,0.0458712788378767,10,-12.290188565686003,1.8124574294731133e-6
plant_n_pct,T1 - T2,0.1942666666666672,0.045871278837876714,10,4.2350392574243605,0.011691328057332528
plant_n_pct,T1 - T3,0.006866666666667132,0.04587127883787671,10,0.1496942496618866,0.9998654623592376
plant_n_pct,T1 - T4,-0.05619999999999947,0.04587127883787671,10,-1.2251674996598125,0.7382670394923424
plant_n_pct,T2 - T3,-0.18740000000000007,0.0458712788378767,10,-4.085345007762475,0.014670133229533144
plant_n_pct,T2 - T4,-0.25046666666666667,0.04587127883787671,10,-5.460206757084174,0.0019927128114399784
plant_n_pct,T3 - T4,-0.0630666666666666,0.0458712788378767,10,-1.3748617493216992,0.6553343889514278
grain_n_pct,T0 - T1,-0.2710000000000003,0.06816841888538512,10,-3.9754479336779953,0.017349947517332542
grain_n_pct,T0 - T2,-0.12300000000000005,0.06816841888538508,10,-1.8043545972044035,0.42170867560156533
